               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.018781,           0.0062961,           0.0029869,             0.92865,             0.93334,             0.97852,             0.85933,           0.0094345,           0.0041329,           0.0052536,           0.0073733,           0.0073733,           0.0073733
                 111,            0.019228,           0.0067939,           0.0041894,             0.92767,             0.90451,             0.99128,             0.86488,           0.0094634,           0.0039872,           0.0063772,           0.0073303,           0.0073303,           0.0073303
                 112,            0.019409,           0.0065223,           0.0064639,             0.88008,             0.98889,               0.985,             0.86182,            0.010873,           0.0038664,           0.0039759,           0.0072872,           0.0072872,           0.0072872
                 113,            0.019297,           0.0072561,           0.0051442,             0.97352,             0.94748,              0.9887,              0.8432,            0.010135,           0.0037162,            0.002164,           0.0072438,           0.0072438,           0.0072438
                 114,            0.020057,           0.0062917,           0.0049101,             0.96302,             0.97476,             0.99272,             0.84807,            0.010175,           0.0037646,           0.0021436,           0.0072003,           0.0072003,           0.0072003
                 115,            0.016919,           0.0061526,           0.0032673,              0.9605,             0.96768,              0.9924,              0.8766,           0.0092433,           0.0037351,           0.0023678,           0.0071566,           0.0071566,           0.0071566
                 116,            0.017934,           0.0063186,           0.0036882,             0.94551,             0.98148,             0.99194,             0.82951,            0.010047,            0.004025,           0.0026176,           0.0071127,           0.0071127,           0.0071127
                 117,            0.018197,           0.0066175,           0.0037739,             0.94534,              0.9535,             0.98525,             0.85834,            0.010181,           0.0041637,           0.0028762,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017236,           0.0063391,           0.0032465,              0.9366,             0.95189,             0.98518,             0.78952,            0.010527,           0.0040716,           0.0036063,           0.0070243,           0.0070243,           0.0070243
                 119,            0.017619,           0.0063462,           0.0029003,             0.94561,             0.93517,             0.97606,             0.83553,           0.0096004,           0.0038781,           0.0039759,           0.0069799,           0.0069799,           0.0069799
                 120,            0.016875,           0.0061668,           0.0033641,             0.93766,             0.93651,             0.97261,               0.806,           0.0099869,            0.004006,           0.0045501,           0.0069353,           0.0069353,           0.0069353
                 121,            0.016397,           0.0055016,           0.0018873,             0.93748,             0.93654,             0.96861,              0.8172,            0.010393,            0.004254,           0.0048515,           0.0068906,           0.0068906,           0.0068906
                 122,            0.018109,           0.0065261,           0.0036458,             0.95482,             0.93327,             0.97759,                0.81,            0.010658,           0.0042141,           0.0047039,           0.0068457,           0.0068457,           0.0068457
                 123,            0.016798,           0.0065716,           0.0037344,             0.94483,             0.94026,             0.98361,             0.85403,            0.011284,           0.0039756,           0.0044038,           0.0068006,           0.0068006,           0.0068006
                 124,            0.018701,           0.0062174,           0.0025408,             0.99279,             0.90027,             0.98978,             0.86096,           0.0099422,           0.0039338,           0.0037146,           0.0067555,           0.0067555,           0.0067555
                 125,            0.016421,            0.006672,           0.0028034,             0.90115,                   1,             0.98886,             0.85635,           0.0099454,           0.0038916,           0.0040741,           0.0067101,           0.0067101,           0.0067101
                 126,            0.017081,           0.0063255,           0.0028306,             0.98224,              0.9114,             0.98864,             0.84086,           0.0096847,           0.0041381,           0.0041242,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017019,           0.0061212,           0.0025665,             0.92193,             0.98148,             0.98594,             0.84193,            0.010357,            0.004113,           0.0041764,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017852,           0.0057276,           0.0061015,              0.9648,             0.92481,             0.98585,             0.86847,            0.010152,           0.0040199,           0.0041582,           0.0065734,           0.0065734,           0.0065734
                 129,             0.01862,           0.0066124,           0.0027871,             0.92255,             0.98059,             0.98918,             0.82779,            0.010787,           0.0037872,           0.0038281,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017834,           0.0061723,           0.0029617,             0.93232,             0.96989,             0.98991,             0.87046,           0.0087747,           0.0035084,           0.0033711,           0.0064816,           0.0064816,           0.0064816
                 131,            0.016693,            0.006093,           0.0031846,             0.96264,             0.95187,             0.99326,             0.88958,           0.0082116,           0.0031935,           0.0028567,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017018,            0.006064,           0.0026149,             0.92968,                   1,             0.99435,             0.86878,           0.0089433,           0.0033427,           0.0019852,           0.0063895,           0.0063895,           0.0063895
                 133,            0.015733,           0.0052998,           0.0032743,              0.9178,             0.99996,             0.99392,             0.89344,           0.0082114,           0.0034267,            0.002676,           0.0063432,           0.0063432,           0.0063432
                 134,            0.017004,           0.0061577,           0.0028152,             0.94562,             0.96297,             0.99285,             0.88343,           0.0089025,           0.0034776,           0.0032273,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017033,           0.0055341,           0.0029743,             0.93297,             0.96731,             0.99264,               0.863,           0.0088725,           0.0035688,           0.0034924,           0.0062505,           0.0062505,           0.0062505
                 136,            0.015023,           0.0057199,           0.0034247,             0.91193,                   1,             0.99409,             0.84098,           0.0094659,            0.003679,           0.0029053,            0.006204,            0.006204,            0.006204
                 137,            0.016445,           0.0059162,           0.0052289,             0.99986,             0.91369,             0.99289,             0.82415,            0.010115,           0.0039755,           0.0027119,           0.0061574,           0.0061574,           0.0061574
                 138,            0.017125,           0.0062348,           0.0036712,             0.93346,                   1,             0.99437,             0.88502,           0.0088341,           0.0038024,           0.0022307,           0.0061107,           0.0061107,           0.0061107
                 139,             0.01626,           0.0059143,           0.0033054,             0.96658,             0.95554,               0.991,             0.83594,           0.0097456,           0.0038085,           0.0022896,            0.006064,            0.006064,            0.006064
                 140,            0.016907,           0.0056422,           0.0041188,             0.96968,             0.94145,              0.9841,              0.8561,           0.0091786,           0.0038629,           0.0025472,           0.0060172,           0.0060172,           0.0060172
                 141,            0.015857,            0.006101,           0.0029195,             0.96997,             0.93647,             0.97762,             0.87298,           0.0089133,           0.0038335,           0.0027036,           0.0059704,           0.0059704,           0.0059704
                 142,             0.01593,           0.0058942,            0.002451,             0.92826,             0.95921,             0.98015,              0.8637,           0.0092948,            0.003958,           0.0026351,           0.0059235,           0.0059235,           0.0059235
                 143,             0.01567,           0.0061521,           0.0031803,             0.92119,             0.98148,             0.98817,             0.86411,           0.0093894,           0.0039629,           0.0025091,           0.0058766,           0.0058766,           0.0058766
                 144,            0.015033,           0.0059102,           0.0021218,             0.93013,                   1,             0.99218,             0.85897,           0.0093468,           0.0037205,           0.0023029,           0.0058296,           0.0058296,           0.0058296
                 145,            0.015562,           0.0059769,           0.0021073,             0.93442,                   1,             0.99392,             0.85333,           0.0088369,           0.0036627,           0.0021138,           0.0057826,           0.0057826,           0.0057826
                 146,            0.015236,           0.0056896,           0.0021201,             0.91561,                   1,              0.9936,             0.86379,           0.0088557,           0.0035781,           0.0026551,           0.0057355,           0.0057355,           0.0057355
                 147,            0.015023,           0.0056145,           0.0022522,             0.89942,              0.9999,             0.99328,             0.86069,           0.0093935,           0.0036538,            0.002818,           0.0056884,           0.0056884,           0.0056884
                 148,            0.018417,           0.0063856,           0.0036592,             0.90016,             0.98204,             0.99218,             0.83899,           0.0092876,           0.0037945,           0.0035303,           0.0056413,           0.0056413,           0.0056413
                 149,            0.014936,           0.0058425,           0.0026209,             0.89931,             0.99988,             0.99468,             0.88619,           0.0085338,           0.0036846,           0.0037626,           0.0055942,           0.0055942,           0.0055942
                 150,            0.014379,           0.0057481,           0.0033205,             0.89881,             0.99999,             0.99468,             0.87558,           0.0090878,           0.0037119,           0.0041381,           0.0055471,           0.0055471,           0.0055471
                 151,            0.016022,           0.0056366,           0.0033313,             0.88389,             0.99993,              0.9925,             0.87232,           0.0084778,           0.0035506,           0.0050403,              0.0055,              0.0055,              0.0055
                 152,            0.015243,           0.0055357,           0.0040464,             0.92155,             0.98151,              0.9925,             0.85605,           0.0086575,           0.0032885,           0.0029759,           0.0054529,           0.0054529,           0.0054529
                 153,            0.015747,           0.0053208,           0.0025254,             0.96603,             0.98382,              0.9925,             0.88784,           0.0093424,           0.0033848,           0.0018644,           0.0054058,           0.0054058,           0.0054058
