               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.042918,            0.010927,            0.010907,             0.85975,             0.93669,             0.94048,             0.57659,            0.021508,           0.0055037,           0.0049334,           0.0018415,           0.0018415,            0.082341
                  49,            0.040978,            0.011088,             0.01072,             0.74994,             0.88035,             0.92971,             0.49949,            0.020856,           0.0054652,           0.0048245,           0.0018747,           0.0018747,            0.081975
                  50,            0.043524,             0.01105,            0.011213,             0.76089,             0.88975,             0.90792,             0.58681,            0.020319,           0.0053548,           0.0050622,           0.0019076,           0.0019076,            0.081608
                  51,            0.044884,            0.010951,           0.0088537,             0.78148,             0.70324,              0.8419,             0.52458,            0.030342,           0.0052798,           0.0050506,           0.0019403,           0.0019403,             0.08124
                  52,            0.045339,             0.01122,            0.010495,             0.67668,             0.95509,             0.84902,             0.56027,            0.021663,           0.0054235,           0.0050375,           0.0019727,           0.0019727,            0.080873
                  53,            0.042897,             0.01088,           0.0099709,             0.64785,             0.86626,             0.81008,             0.45529,            0.025741,           0.0053269,           0.0046831,           0.0020048,           0.0020048,            0.080505
                  54,            0.045303,           0.0097764,           0.0096094,             0.68948,             0.76428,             0.74443,             0.31997,            0.030275,           0.0054185,           0.0064997,           0.0020366,           0.0020366,            0.080137
                  55,            0.039906,            0.011144,           0.0087078,             0.75408,             0.90374,              0.9149,             0.47513,            0.020699,           0.0055272,           0.0064512,           0.0020681,           0.0020681,            0.079768
                  56,            0.042381,            0.010115,           0.0085782,             0.67838,             0.92195,             0.87818,             0.42525,            0.021949,           0.0055626,           0.0057704,           0.0020993,           0.0020993,            0.079399
                  57,            0.041218,            0.010345,             0.01054,             0.88007,             0.90953,             0.96402,             0.64868,            0.019155,           0.0053543,            0.004503,           0.0021303,           0.0021303,             0.07903
                  58,            0.037723,            0.010242,           0.0091476,             0.93221,              0.9037,             0.97273,             0.70638,             0.01588,           0.0052878,           0.0056852,           0.0021609,           0.0021609,            0.078661
                  59,            0.040318,            0.010545,           0.0082173,             0.93401,             0.87347,             0.98188,             0.67286,            0.018688,           0.0053308,           0.0054809,           0.0021912,           0.0021912,            0.078291
                  60,            0.038013,            0.010919,           0.0090921,              0.9125,             0.93669,             0.97896,             0.66098,            0.016332,           0.0050886,           0.0041546,           0.0022212,           0.0022212,            0.077921
                  61,            0.040798,           0.0097267,           0.0081836,             0.84134,             0.92459,             0.92879,             0.64832,            0.019629,           0.0052945,           0.0041995,           0.0022508,           0.0022508,            0.077551
                  62,            0.037463,            0.010467,           0.0090774,             0.66438,             0.97036,             0.90276,             0.47659,            0.021113,           0.0048773,           0.0040341,           0.0022802,           0.0022802,             0.07718
                  63,            0.038925,            0.010425,           0.0097214,             0.77762,             0.99938,             0.95219,              0.6393,            0.019034,           0.0049467,           0.0047498,           0.0023092,           0.0023092,            0.076809
                  64,            0.037835,            0.010219,            0.007645,             0.71301,             0.92947,             0.90132,             0.57159,            0.019781,           0.0050048,           0.0046986,           0.0023379,           0.0023379,            0.076438
                  65,            0.037872,           0.0095642,           0.0078188,             0.89807,             0.95051,              0.9711,             0.70795,            0.016784,           0.0051335,           0.0048427,           0.0023663,           0.0023663,            0.076066
                  66,            0.039822,           0.0092716,             0.00805,             0.83779,             0.98148,             0.96388,              0.6238,            0.017442,            0.005171,           0.0047729,           0.0023943,           0.0023943,            0.075694
                  67,            0.038584,            0.010119,           0.0084898,             0.85635,             0.85926,              0.9629,             0.63661,            0.017343,           0.0047563,           0.0057484,           0.0024219,           0.0024219,            0.075322
                  68,            0.037955,            0.010019,            0.008756,             0.92711,              0.9384,             0.95808,             0.66944,            0.016031,           0.0047655,           0.0055493,           0.0024493,           0.0024493,            0.074949
                  69,             0.04117,           0.0095242,            0.006627,             0.65659,             0.81377,             0.82914,             0.52221,            0.029577,           0.0047575,           0.0068706,           0.0024763,           0.0024763,            0.074576
                  70,            0.039109,            0.010055,            0.008098,             0.76898,             0.92222,             0.91484,             0.50891,             0.01944,           0.0048422,           0.0053437,           0.0025029,           0.0025029,            0.074203
                  71,            0.039031,           0.0096504,           0.0076876,             0.72282,             0.94074,             0.84572,              0.5676,            0.021398,           0.0047371,           0.0044301,           0.0025292,           0.0025292,            0.073829
                  72,            0.036568,            0.010038,             0.00824,             0.78476,             0.87031,             0.93879,             0.62319,            0.019221,           0.0045835,           0.0044765,           0.0025551,           0.0025551,            0.073455
                  73,            0.037204,           0.0097369,           0.0069226,             0.83565,             0.92496,             0.94432,             0.64756,            0.020259,           0.0047794,           0.0062406,           0.0025806,           0.0025806,            0.073081
                  74,            0.035502,           0.0095919,           0.0052876,             0.92609,             0.90359,             0.97834,             0.64847,            0.017462,           0.0047227,           0.0056691,           0.0026058,           0.0026058,            0.072706
                  75,            0.036234,           0.0089079,           0.0056825,              0.9414,             0.90625,             0.97729,             0.57332,            0.021825,           0.0044889,           0.0046323,           0.0026306,           0.0026306,            0.072331
