               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.021983,           0.0075355,           0.0038184,             0.78216,             0.97013,             0.94341,             0.74721,            0.012672,           0.0048575,           0.0077657,           0.0087151,           0.0087151,           0.0087151
                  76,            0.020344,           0.0071126,           0.0062141,             0.87017,             0.89987,             0.92989,             0.76188,            0.013774,           0.0052701,           0.0050869,            0.008682,            0.008682,            0.008682
                  77,            0.019395,           0.0070267,           0.0052812,             0.91525,             0.93087,             0.95987,             0.79193,            0.012234,           0.0044398,           0.0045072,           0.0086485,           0.0086485,           0.0086485
                  78,            0.018455,           0.0067751,           0.0034401,             0.91273,             0.97039,             0.97406,             0.81196,            0.011433,            0.004321,           0.0046316,           0.0086146,           0.0086146,           0.0086146
                  79,            0.019433,           0.0066238,           0.0043704,             0.96034,              0.9232,             0.96872,             0.79138,            0.011546,           0.0044185,           0.0055787,           0.0085805,           0.0085805,           0.0085805
                  80,            0.020355,           0.0071498,           0.0047266,             0.96404,             0.93243,             0.97601,             0.81026,             0.01224,           0.0043464,           0.0056107,           0.0085459,           0.0085459,           0.0085459
                  81,             0.02144,           0.0073057,           0.0048942,             0.94349,             0.95909,             0.97752,             0.77013,              0.0135,           0.0042921,           0.0053938,           0.0085111,           0.0085111,           0.0085111
                  82,            0.019446,           0.0065169,           0.0053301,             0.96798,              0.9274,             0.97926,             0.78824,            0.012231,            0.004356,           0.0055306,           0.0084759,           0.0084759,           0.0084759
                  83,            0.020574,             0.00712,           0.0045026,             0.97133,             0.92391,             0.98354,             0.77942,            0.011362,            0.004277,           0.0042079,           0.0084404,           0.0084404,           0.0084404
                  84,            0.019204,           0.0070892,           0.0052586,             0.95572,             0.94067,             0.98712,             0.82053,            0.011648,           0.0042087,           0.0034514,           0.0084046,           0.0084046,           0.0084046
                  85,            0.020914,             0.00722,           0.0058384,             0.94905,             0.94301,             0.98132,             0.79344,            0.013199,           0.0042654,           0.0030201,           0.0083684,           0.0083684,           0.0083684
                  86,            0.018322,           0.0064129,           0.0025903,             0.92112,             0.94067,              0.9746,             0.82099,            0.011241,           0.0040526,           0.0037756,           0.0083319,           0.0083319,           0.0083319
                  87,            0.019384,           0.0064875,           0.0038036,             0.94904,             0.93472,             0.97686,             0.83552,            0.011603,           0.0039048,            0.003636,           0.0082952,           0.0082952,           0.0082952
                  88,            0.018598,           0.0064157,           0.0036851,             0.96909,             0.95926,              0.9738,             0.84368,            0.013315,           0.0038736,            0.002903,           0.0082581,           0.0082581,           0.0082581
                  89,            0.019376,           0.0065886,            0.003497,             0.95752,             0.95923,             0.96467,             0.81367,            0.012759,           0.0039511,           0.0031105,           0.0082207,           0.0082207,           0.0082207
                  90,            0.019197,           0.0060413,           0.0036862,             0.97096,             0.91621,             0.96392,             0.74882,            0.014404,           0.0039215,           0.0034892,            0.008183,            0.008183,            0.008183
                  91,            0.019126,           0.0068413,           0.0029329,             0.92764,             0.95921,              0.9644,             0.81406,            0.011573,           0.0039106,           0.0039902,            0.008145,            0.008145,            0.008145
                  92,            0.018849,           0.0069321,           0.0047304,             0.93909,             0.95922,             0.96792,             0.78133,             0.01042,           0.0036451,           0.0041885,           0.0081068,           0.0081068,           0.0081068
                  93,            0.017336,           0.0064689,            0.003554,             0.96044,             0.95916,             0.96708,             0.81678,            0.011621,           0.0037417,           0.0043165,           0.0080682,           0.0080682,           0.0080682
                  94,            0.019124,           0.0071975,           0.0046826,             0.96413,             0.95915,             0.96882,             0.81222,            0.010393,            0.003864,             0.00397,           0.0080294,           0.0080294,           0.0080294
                  95,            0.018155,           0.0066454,            0.003242,             0.96549,             0.97037,             0.96915,             0.78856,            0.010735,           0.0036193,            0.003334,           0.0079903,           0.0079903,           0.0079903
                  96,            0.017635,           0.0061153,           0.0029212,             0.96964,             0.95917,             0.96471,             0.82094,            0.010637,           0.0035387,           0.0034978,           0.0079509,           0.0079509,           0.0079509
                  97,            0.017196,           0.0065232,           0.0027911,             0.93324,             0.95923,             0.96275,             0.83232,            0.010292,           0.0033311,           0.0051406,           0.0079112,           0.0079112,           0.0079112
                  98,            0.016778,           0.0063927,           0.0028822,             0.97174,             0.93055,             0.97075,             0.85004,            0.009597,           0.0031267,           0.0047519,           0.0078713,           0.0078713,           0.0078713
                  99,             0.01732,            0.006526,           0.0032645,             0.95246,             0.94156,             0.96829,             0.81183,            0.010545,           0.0032795,           0.0048832,           0.0078311,           0.0078311,           0.0078311
                 100,            0.017132,           0.0062097,           0.0029616,             0.94033,             0.96132,             0.96696,             0.83205,            0.010159,           0.0033565,           0.0042145,           0.0077907,           0.0077907,           0.0077907
                 101,            0.017781,           0.0059472,           0.0025556,             0.96541,             0.97778,             0.99185,             0.86386,           0.0091194,           0.0032278,           0.0032137,             0.00775,             0.00775,             0.00775
                 102,            0.017877,            0.006326,            0.004891,             0.97723,             0.97685,               0.995,             0.86683,            0.010505,           0.0032579,           0.0023414,           0.0077091,           0.0077091,           0.0077091
                 103,            0.018218,           0.0069576,           0.0034888,             0.94088,             0.99477,             0.99057,             0.85733,            0.010473,            0.003368,           0.0031828,           0.0076679,           0.0076679,           0.0076679
                 104,            0.018355,           0.0062283,           0.0034779,             0.94896,             0.96251,             0.98651,             0.84817,           0.0087782,           0.0030483,           0.0037991,           0.0076265,           0.0076265,           0.0076265
                 105,            0.017853,           0.0064825,           0.0031078,             0.95506,             0.95922,             0.99348,             0.87393,           0.0096469,           0.0032605,           0.0034029,           0.0075848,           0.0075848,           0.0075848
                 106,            0.017984,           0.0063186,           0.0017246,             0.93003,             0.98022,             0.99131,             0.84804,           0.0092872,           0.0031294,           0.0039894,            0.007543,            0.007543,            0.007543
                 107,            0.016989,           0.0065964,           0.0034752,             0.96948,             0.94287,             0.97558,             0.83977,            0.010494,           0.0036502,           0.0060204,           0.0075009,           0.0075009,           0.0075009
                 108,            0.018563,           0.0067935,           0.0026227,             0.96169,             0.94072,             0.98876,             0.84192,            0.010168,            0.003779,           0.0049236,           0.0074585,           0.0074585,           0.0074585
                 109,            0.019086,           0.0067029,           0.0030991,             0.86274,                   1,             0.98512,             0.84784,           0.0096261,           0.0035925,           0.0048036,            0.007416,            0.007416,            0.007416
                 110,            0.015809,           0.0063808,           0.0033783,             0.91482,             0.98131,             0.98888,             0.83736,            0.010278,            0.003308,           0.0028327,           0.0073733,           0.0073733,           0.0073733
                 111,            0.017335,           0.0060808,           0.0034926,             0.94055,              0.9949,             0.99187,             0.86834,           0.0084331,           0.0031862,            0.002014,           0.0073303,           0.0073303,           0.0073303
                 112,            0.016816,           0.0066136,           0.0042542,             0.99339,             0.99991,               0.995,             0.84928,            0.010456,           0.0032078,          0.00095891,           0.0072872,           0.0072872,           0.0072872
                 113,            0.016733,           0.0064465,           0.0040198,             0.93286,                   1,             0.99187,             0.84182,            0.010249,           0.0031646,           0.0016938,           0.0072438,           0.0072438,           0.0072438
                 114,            0.015869,           0.0060192,           0.0027479,             0.92551,                   1,             0.99068,             0.88823,           0.0097914,           0.0034228,            0.001695,           0.0072003,           0.0072003,           0.0072003
                 115,            0.016794,           0.0064193,             0.00278,             0.99092,             0.95685,             0.99265,             0.89386,            0.009139,           0.0036356,           0.0011989,           0.0071566,           0.0071566,           0.0071566
                 116,             0.01676,           0.0061783,           0.0031947,             0.94887,             0.97769,             0.99039,             0.82353,           0.0099304,           0.0036249,           0.0016169,           0.0071127,           0.0071127,           0.0071127
                 117,            0.016713,           0.0060452,           0.0032728,             0.95978,             0.97778,             0.98729,             0.87294,            0.010026,           0.0035764,           0.0015637,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017115,           0.0062814,           0.0035818,             0.94985,             0.95926,             0.99126,             0.83926,           0.0099149,           0.0032416,           0.0023409,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016931,           0.0060118,           0.0034928,             0.95664,             0.95916,             0.98787,             0.85536,           0.0098467,           0.0034608,           0.0023939,           0.0069799,           0.0069799,           0.0069799
                 120,             0.01578,           0.0061799,           0.0020431,             0.95708,             0.95926,             0.98678,             0.84674,           0.0093435,           0.0034316,           0.0025228,           0.0069353,           0.0069353,           0.0069353
                 121,            0.017037,           0.0058919,           0.0030451,             0.96163,             0.97033,             0.98634,             0.83006,            0.010999,           0.0035921,           0.0027986,           0.0068906,           0.0068906,           0.0068906
                 122,            0.016509,           0.0063603,           0.0030407,             0.96487,             0.95922,             0.99019,             0.81205,           0.0095691,           0.0033135,           0.0039823,           0.0068457,           0.0068457,           0.0068457
                 123,            0.016143,           0.0064444,           0.0038365,              0.9654,             0.96486,             0.98833,             0.86691,           0.0096886,           0.0035435,           0.0041383,           0.0068006,           0.0068006,           0.0068006
                 124,             0.01678,           0.0060127,           0.0038667,             0.96613,             0.95926,             0.98652,             0.82944,           0.0092843,            0.003408,           0.0044353,           0.0067555,           0.0067555,           0.0067555
                 125,            0.016033,           0.0062678,           0.0029113,              0.9661,             0.97772,             0.99375,             0.87779,           0.0088279,           0.0030873,           0.0035303,           0.0067101,           0.0067101,           0.0067101
                 126,            0.016621,           0.0059995,           0.0038874,             0.98829,             0.97857,             0.99468,             0.86457,           0.0099845,           0.0030029,           0.0030995,           0.0066647,           0.0066647,           0.0066647
                 127,            0.018021,           0.0059826,           0.0044853,             0.97854,              0.9812,               0.995,             0.83469,           0.0094178,           0.0030778,           0.0029213,           0.0066191,           0.0066191,           0.0066191
                 128,            0.014921,           0.0054419,           0.0022846,             0.95914,             0.98539,             0.99468,             0.87022,           0.0090448,           0.0028933,           0.0033207,           0.0065734,           0.0065734,           0.0065734
                 129,            0.016308,           0.0060176,           0.0034971,             0.95996,             0.98886,             0.98941,              0.8876,           0.0083323,           0.0031018,           0.0034243,           0.0065276,           0.0065276,           0.0065276
                 130,            0.014709,           0.0057618,           0.0030953,             0.95477,             0.98128,             0.99468,             0.88016,           0.0092357,           0.0031923,           0.0032787,           0.0064816,           0.0064816,           0.0064816
                 131,            0.015234,           0.0057568,           0.0029805,              0.9515,              0.9701,             0.98506,             0.83065,            0.010305,           0.0034549,           0.0040751,           0.0064356,           0.0064356,           0.0064356
                 132,            0.016218,           0.0059527,           0.0016801,             0.94867,             0.96774,             0.98725,             0.83661,            0.008721,           0.0033514,           0.0042683,           0.0063895,           0.0063895,           0.0063895
                 133,            0.014762,           0.0056954,           0.0015437,              0.9435,             0.99996,               0.995,              0.8291,           0.0095612,           0.0037814,           0.0034843,           0.0063432,           0.0063432,           0.0063432
                 134,            0.015527,           0.0056052,           0.0035807,              0.9608,             0.94927,               0.995,             0.86392,           0.0091651,           0.0036933,           0.0034388,           0.0062969,           0.0062969,           0.0062969
                 135,            0.015788,           0.0056462,            0.002609,             0.91057,             0.98144,             0.99241,             0.84718,           0.0092923,           0.0037589,            0.004036,           0.0062505,           0.0062505,           0.0062505
                 136,            0.014271,           0.0056115,           0.0029034,             0.92361,             0.96295,             0.98447,             0.84823,           0.0092003,           0.0036186,           0.0043885,            0.006204,            0.006204,            0.006204
                 137,            0.016055,           0.0060071,           0.0035254,             0.95047,             0.94793,             0.97575,             0.81872,           0.0096031,           0.0035662,           0.0045719,           0.0061574,           0.0061574,           0.0061574
                 138,            0.015785,           0.0058156,           0.0032501,             0.95777,             0.95172,             0.98125,             0.86514,            0.010138,           0.0039373,           0.0046806,           0.0061107,           0.0061107,           0.0061107
                 139,            0.014794,           0.0054047,           0.0023021,             0.96631,             0.94074,             0.98431,              0.8823,           0.0085004,             0.00303,           0.0055945,            0.006064,            0.006064,            0.006064
                 140,            0.014731,           0.0056468,           0.0026116,             0.98369,             0.92963,             0.98534,             0.86549,            0.009028,           0.0031384,           0.0052545,           0.0060172,           0.0060172,           0.0060172
                 141,            0.014867,           0.0053814,           0.0029727,             0.97579,             0.94078,             0.98469,             0.87852,           0.0086751,           0.0032535,           0.0047505,           0.0059704,           0.0059704,           0.0059704
                 142,            0.015676,           0.0055602,           0.0030251,             0.97519,             0.94075,              0.9843,             0.89154,           0.0081431,           0.0032659,           0.0043013,           0.0059235,           0.0059235,           0.0059235
                 143,            0.014713,           0.0054541,           0.0026407,               0.966,             0.94075,             0.98591,             0.88498,           0.0087726,            0.003505,           0.0044102,           0.0058766,           0.0058766,           0.0058766
                 144,            0.015399,           0.0056577,            0.003411,                0.96,             0.93042,             0.98847,             0.88822,           0.0093081,           0.0037832,           0.0043127,           0.0058296,           0.0058296,           0.0058296
                 145,            0.014852,           0.0057748,           0.0027993,             0.96616,             0.92237,             0.97656,             0.87318,           0.0088606,           0.0038993,            0.004971,           0.0057826,           0.0057826,           0.0057826
                 146,            0.014262,           0.0055408,           0.0018487,             0.95342,             0.92963,             0.97173,             0.88256,           0.0090495,           0.0038076,           0.0060407,           0.0057355,           0.0057355,           0.0057355
                 147,            0.014319,           0.0049769,            0.001437,             0.95223,             0.90704,             0.96799,             0.83761,            0.010205,           0.0039002,           0.0066997,           0.0056884,           0.0056884,           0.0056884
                 148,            0.015131,           0.0058981,            0.001991,              0.9614,             0.94838,             0.97855,             0.87995,             0.00875,           0.0032901,           0.0051358,           0.0056413,           0.0056413,           0.0056413
                 149,            0.014188,           0.0057517,           0.0021357,             0.96982,             0.95047,              0.9807,             0.89276,           0.0083767,           0.0032768,           0.0039554,           0.0055942,           0.0055942,           0.0055942
                 150,            0.014053,           0.0053585,           0.0023388,             0.96696,             0.95926,             0.98641,             0.87402,            0.008621,           0.0034061,           0.0033267,           0.0055471,           0.0055471,           0.0055471
                 151,            0.013495,           0.0049176,           0.0019125,             0.95516,             0.92715,             0.98677,             0.88608,           0.0091863,           0.0033747,           0.0037155,              0.0055,              0.0055,              0.0055
                 152,             0.01344,           0.0050785,            0.002202,             0.94264,             0.95319,             0.98717,             0.90324,           0.0079913,           0.0034275,           0.0041046,           0.0054529,           0.0054529,           0.0054529
                 153,            0.013232,           0.0056606,           0.0016757,              0.9423,              0.9539,             0.98667,             0.89572,           0.0079079,           0.0034357,           0.0040614,           0.0054058,           0.0054058,           0.0054058
